1,2,3,4,5,6,7
10046116,N,,2000/12/29 00:00,,,B
10046172,C,C,2000/12/30 00:00,2種原因以上,,B
10046118,N,,2000/12/29 00:00,,,B
10046177,C,C,2000/12/30 00:00,2種原因以上,,B
10046251,N,,2001/1/16 00:00,,,B
10046222,C,C,2001/9/30 00:00,2種原因以上,,B
10046133,C,C,2001/9/30 00:00,2種原因以上,,B
10046153,D,20,2001/10/1 00:00,,,B
5022334,C,C,1999/10/1 00:00,其他原因,,A
5022339,C,C,1999/10/1 00:00,其他原因,,A
10046269,N,,2001/1/16 00:00,,,B
10046254,D,20,2001/1/15 00:00,,,B
10046129,C,C,2001/10/1 00:00,2種原因以上,,B
10046272,N,,2001/1/15 00:00,,,B
10046229,N,,2001/1/16 00:00,,,B
10046025,C,C,2001/2/1 00:00,2種原因以上,,B
10046166,C,C,2001/2/1 00:00,2種原因以上,,B
10046207,C,C,2001/2/1 00:00,2種原因以上,,B
10046198,N,,2001/1/16 00:00,,,B
10046055,C,C,2001/2/1 00:00,2種原因以上,,B
10046232,D,20,2001/2/17 00:00,,,B
10046217,N,,2001/2/20 00:00,,,B
10046232,D,20,2001/2/27 00:00,,,B
10046262,D,20,2001/2/1 00:00,,,B
10046072,C,C,2001/2/1 00:00,2種原因以上,,B
10046197,C,C,2002/3/5 00:00,2種原因以上,,B
5023053,N,,2000/6/22 00:00,,,A
5023056,N,,2000/6/22 00:00,,,A
10046093,C,C,2002/3/1 00:00,2種原因以上,,B
5011926,N,,2000/6/22 00:00,,,A
10046034,C,C,2002/3/1 00:00,2種原因以上,,B
10046027,C,C,2002/3/10 00:00,2種原因以上,,B
10046117,N,,2002/3/16 00:00,,,B
10046053,C,C,2002/4/1 00:00,2種原因以上,,B
10046427,N,,2002/4/2 00:00,,,B
5023058,N,,2000/6/22 00:00,,,A
5023043,N,,2000/6/22 00:00,,,A
5023048,N,,2000/6/22 00:00,,,A
5023054,N,,2000/6/22 00:00,,,A
5023059,N,,2000/6/22 00:00,,,A
5022351,C,C,1999/10/1 00:00,其他原因,,A
10046112,D,30,2002/9/1 00:00,,,B
10046282,N,,2002/4/2 00:00,,,B
10046054,C,C,2002/4/10 00:00,2種原因以上,,B
10046225,N,,2001/6/18 00:00,,,B
10046276,N,,2002/4/2 00:00,,,B
10046050,C,C,2002/4/10 00:00,2種原因以上,,B
11938,N,,2000/4/19 00:00,,,A
10046225,D,20,2001/2/7 00:00,,,B
10046288,D,20,2001/2/7 00:00,,,B
10046260,D,20,2001/2/10 00:00,,,B
10046289,N,,2001/2/20 00:00,,,B
10046230,N,,2001/2/20 00:00,,,B
10046239,N,,2001/2/20 00:00,,,B
10046246,N,,2001/2/20 00:00,,,B
10046265,N,,2001/2/20 00:00,,,B
10046276,N,,2001/2/20 00:00,,,B
10046019,N,,2000/12/29 00:00,,,B
10046023,N,,2000/12/29 00:00,,,B
10046023,C,C,2000/12/30 00:00,2種原因以上,,B
5022359,C,C,2000/8/1 00:00,其他原因,,A
10046259,N,,2001/3/15 00:00,,,B
10046201,N,,2001/2/20 00:00,,,B
10046285,N,,2001/2/20 00:00,,,B
10046198,N,,2001/2/20 00:00,,,B
10046215,N,,2001/3/15 00:00,,,B
10046240,N,,2001/3/15 00:00,,,B
5023111,N,,2000/7/20 00:00,,,A
5023112,N,,2000/7/20 00:00,,,A
10046178,C,C,2001/9/28 00:00,2種原因以上,,B
10046171,C,C,2001/10/1 00:00,2種原因以上,,B
10046019,N,,2000/9/1 00:00,,,B
10046023,N,,2000/9/1 00:00,,,B
5023046,N,,2000/6/22 00:00,,,A
10046189,C,C,2001/10/10 00:00,2種原因以上,,B
10046153,N,,2001/10/15 00:00,,,B
10046118,N,,2000/9/1 00:00,,,B
10046283,N,,2001/1/16 00:00,,,B
10046229,N,,2002/4/2 00:00,,,B
10046138,C,C,2001/10/17 00:00,2種原因以上,,B
10046022,C,C,2000/9/3 00:00,2種原因以上,,B
10046032,C,C,2002/5/1 00:00,2種原因以上,,B
10046112,D,30,2001/7/1 00:00,,,B
10046135,C,C,2001/7/1 00:00,2種原因以上,,B
10046236,D,30,2001/7/1 00:00,,,B
10016052,C,C,2001/7/1 00:00,2種原因以上,,B
10046038,N,,2001/7/1 00:00,,,B
10046230,C,C,2001/7/1 00:00,2種原因以上,,B
10046082,C,C,2000/9/10 00:00,2種原因以上,,B
10046179,N,,2001/10/15 00:00,,,B
5022335,C,C,2000/8/28 00:00,其他原因,,A
10046058,C,C,2002/4/1 00:00,2種原因以上,,B
10046063,C,C,2001/7/1 00:00,其他原因,,B
10046289,D,30,2001/7/1 00:00,,,B
10046019,C,C,2001/2/1 00:00,2種原因以上,,B
10046029,C,C,2002/6/10 00:00,2種原因以上,,B
10046225,C,C,2001/3/16 00:00,2種原因以上,,B
10046262,D,20,2001/4/1 00:00,,,B
10046142,D,D,2001/4/1 00:00,蹄的問題,,B
10046260,D,20,2001/4/1 00:00,,,B
10046288,D,20,2001/4/1 00:00,,,B
10046113,C,C,2001/4/1 00:00,2種原因以上,,B
5022367,C,C,1999/10/1 00:00,其他原因,,A
10046047,C,C,2000/10/10 00:00,2種原因以上,,B
10046266,N,,2001/4/1 00:00,,,B
10046094,C,C,2000/10/3 00:00,2種原因以上,,B
10046115,D,D,2000/10/3 00:00,其他疾病,,B
5022336,C,C,2000/10/3 00:00,其他原因,,A
5023115,N,,2000/7/20 00:00,,,A
5023122,N,,2000/7/20 00:00,,,A
5023123,N,,2000/7/20 00:00,,,A
10046232,N,,2001/4/18 00:00,,,B
10046132,C,C,2001/5/1 00:00,2種原因以上,,B
5023109,N,,2000/7/20 00:00,,,A
5023110,N,,2000/7/20 00:00,,,A
5023114,N,,2000/7/20 00:00,,,A
5023121,N,,2000/7/20 00:00,,,A
10046118,C,C,2000/9/19 00:00,2種原因以上,,B
5023113,N,,2000/7/20 00:00,,,A
5023124,N,,2000/7/20 00:00,,,A
10046024,C,C,2001/5/1 00:00,2種原因以上,,B
91122405,D,20,2003/1/19 00:00,,,B
10046106,C,C,2001/5/1 00:00,2種原因以上,,B
10046146,C,C,2001/5/1 00:00,2種原因以上,,B
10046135,D,30,2001/6/1 00:00,,,B
10046228,N,,2002/4/2 00:00,,,B
10046257,N,,2002/4/2 00:00,,,B
10046065,C,C,2002/4/10 00:00,2種原因以上,,B
10046098,C,C,2000/10/10 00:00,2種原因以上,,B
10046018,C,C,2001/5/1 00:00,2種原因以上,,B
10046196,N,,2000/10/3 00:00,,,B
10050777,N,,2001/5/23 00:00,,,B
10046256,D,30,2001/6/1 00:00,,,B
10046076,n,,2000/10/25 00:00,,,B
5022356,C,30,2000/10/27 00:00,,,A
10046195,N,,2000/10/3 00:00,,,B
10046078,C,C,2000/10/10 00:00,2種原因以上,,B
10046202,C,C,2002/4/10 00:00,2種原因以上,,B
10046274,C,C,2002/7/1 00:00,2種原因以上,,B
10046184,C,C,2002/9/1 00:00,2種原因以上,,B
10046220,C,C,2002/9/1 00:00,2種原因以上,,B
10046071,D,20,2002/7/1 00:00,,,B
10046239,C,C,2002/7/10 00:00,2種原因以上,,B
10048850,C,C,2001/11/10 00:00,2種原因以上,,B
10046064,C,C,2001/10/30 00:00,2種原因以上,,B
90122392,D,20,2003/3/18 00:00,,,B
10046088,C,C,2003/3/10 00:00,2種原因以上,,B
10046088,N,,2003/3/14 00:00,,,B
10046026,C,C,2000/11/1 00:00,2種原因以上,,B
10046110,C,C,2003/2/28 00:00,2種原因以上,,B
10046205,C,C,2003/3/10 00:00,2種原因以上,,B
91122425,D,20,2003/3/20 00:00,,,B
10046236,C,C,2003/3/10 00:00,2種原因以上,,B
10046157,C,C,2001/10/17 00:00,2種原因以上,,B
10046020,C,C,2002/8/10 00:00,2種原因以上,,B
10048931,C,C,2001/11/10 00:00,淘汰,,B
10046056,D,30,2001/7/1 00:00,,,B
10046091,D,30,2001/7/1 00:00,,,B
10046196,C,C,2001/7/1 00:00,2種原因以上,,B
10046256,C,C,2001/7/1 00:00,2種原因以上,,B
10046212,C,C,2001/10/10 00:00,2種原因以上,,B
10046151,C,C,2002/8/1 00:00,2種原因以上,,B
10046126,C,C,2002/8/10 00:00,2種原因以上,,B
10046206,C,C,2002/7/29 00:00,2種原因以上,,B
10046100,D,20,2002/8/1 00:00,,,B
10046202,N,,2000/9/3 00:00,,,B
10046019,C,C,2000/9/10 00:00,2種原因以上,,B
10046023,C,C,2000/9/10 00:00,2種原因以上,,B
10046035,C,C,2002/8/7 00:00,2種原因以上,,B
10046100,N,,2002/8/17 00:00,,,B
87051622,C,C,2003/9/2 00:00,其他原因,,A
5022909,C,C,2003/9/17 00:00,其他原因,,A
5023115,C,32,2004/9/9 00:00,,,A
87183279,N,,2004/9/16 00:00,,,C
89181722,C,C,2004/9/28 00:00,淘汰,,C
10046028,C,C,2003/10/1 00:00,2種原因以上,,B
88051720,C,32,2004/9/9 00:00,,,A
5024350,C,C,2004/9/10 00:00,淘汰,,A
89181710,C,C,2004/9/16 00:00,淘汰,,C
92184018,D,30,2004/9/16 00:00,,,C
92184022,D,30,2004/9/16 00:00,,,C
5022913,C,32,2004/9/9 00:00,,,A
5023047,C,C,2004/9/9 00:00,其他原因,,A
5023050,C,32,2004/9/9 00:00,,,A
5022910,C,C,2004/9/25 00:00,蹄的問題,,A
10046148,C,C,2003/10/1 00:00,2種原因以上,,B
10046119,C,C,2001/7/1 00:00,2種原因以上,,B
10046163,C,C,2001/7/1 00:00,2種原因以上,,B
10046208,C,C,2001/7/1 00:00,2種原因以上,,B
10046434,C,C,2001/7/1 00:00,其他原因,,B
5011924,C,C,2003/9/25 00:00,蹄的問題,,A
10046130,C,C,2003/10/1 00:00,2種原因以上,,B
10046278,C,C,2003/10/1 00:00,2種原因以上,,B
10050228,C,C,2003/10/1 00:00,2種原因以上,,B
10046286,C,C,2003/2/20 00:00,2種原因以上,,B
10046194,C,C,2001/5/1 00:00,2種原因以上,,B
91122402,C,C,2003/9/20 00:00,2種原因以上,,B
10046096,C,C,2000/10/3 00:00,2種原因以上,,B
10046202,N,,2000/10/3 00:00,,,B
10046193,C,C,2001/12/10 00:00,2種原因以上,,B
10046161,C,C,2000/10/10 00:00,2種原因以上,,B
10046191,C,C,2001/8/1 00:00,2種原因以上,,B
10046198,C,C,2001/8/1 00:00,2種原因以上,,B
10046142,N,,2001/12/15 00:00,,,B
91122425,N,,2003/4/12 00:00,,,B
10046204,C,C,2003/3/13 00:00,2種原因以上,,B
91122405,N,,2003/4/12 00:00,,,B
10046282,C,C,2004/10/1 00:00,2種原因以上,,B
5022369,D,20,2003/9/27 00:00,,,A
91129164,D,20,2003/9/30 00:00,,,B
10046149,C,C,2003/10/8 00:00,2種原因以上,,B
10046279,C,C,2003/10/8 00:00,2種原因以上,,B
10046149,N,,2003/10/9 00:00,,,B
5023052,D,20,2003/10/9 00:00,,,A
5022346,C,C,2003/5/1 00:00,其他原因,,A
5022408,C,C,2003/5/1 00:00,其他原因,,A
5022409,C,C,2003/5/1 00:00,其他原因,,A
10046049,C,C,2001/8/1 00:00,2種原因以上,,B
10046070,C,C,2001/8/1 00:00,2種原因以上,,B
10046079,C,C,2001/8/1 00:00,2種原因以上,,B
10046159,C,C,2001/12/1 00:00,2種原因以上,,B
10046168,C,C,2003/10/1 00:00,2種原因以上,,B
10046267,C,C,2001/12/1 00:00,2種原因以上,,B
10046118,C,C,2001/12/10 00:00,2種原因以上,,B
90122392,N,,2003/4/12 00:00,,,B
10046046,C,C,2001/12/10 00:00,2種原因以上,,B
10046073,C,C,2001/12/30 00:00,2種原因以上,,B
10046038,C,C,2003/10/25 00:00,2種原因以上,,B
10046081,C,C,2003/10/25 00:00,2種原因以上,,B
5022851,C,C,2002/10/25 00:00,淘汰,,A
91129164,N,,2003/10/9 00:00,,,B
5022369,N,,2003/10/13 00:00,,,A
91129167,D,20,2003/10/20 00:00,,,B
90182942,D,30,2004/9/16 00:00,,,C
91129164,N,,2004/9/17 00:00,,,B
10046119,D,30,2001/6/1 00:00,,,B
10046071,N,,2002/10/15 00:00,,,B
5022406,C,C,2004/9/25 00:00,淘汰,,A
10046220,D,20,2002/7/1 00:00,,,B
5023460,C,C,2003/10/19 00:00,蹄的問題,,A
10046182,C,C,2003/10/25 00:00,2種原因以上,,B
5023113,N,,2004/9/10 00:00,,,A
90182978,D,30,2004/9/16 00:00,,,C
10046087,C,C,2002/1/10 00:00,2種原因以上,,B
10046223,C,C,2002/1/10 00:00,2種原因以上,,B
10046184,C,C,2002/7/15 00:00,2種原因以上,,B
10046184,N,,2002/7/16 00:00,,,B
10046283,C,C,2003/2/20 00:00,2種原因以上,,B
10046289,N,,2002/10/15 00:00,,,B
5022337,C,C,2002/10/25 00:00,淘汰,,A
5023051,D,20,2002/11/5 00:00,,,A
5023051,N,,2002/11/17 00:00,,,A
10046088,C,C,2003/10/25 00:00,2種原因以上,,B
91122430,C,C,2003/10/25 00:00,2種原因以上,,B
10046067,C,C,2002/12/1 00:00,2種原因以上,,B
10046100,C,C,2002/12/1 00:00,2種原因以上,,B
10046124,C,C,2002/12/1 00:00,2種原因以上,,B
10046112,N,,2001/8/16 00:00,,,B
10046236,N,,2001/8/16 00:00,,,B
10046241,N,,2001/8/21 00:00,,,B
5023113,D,20,2002/11/5 00:00,,,A
5023113,N,,2002/11/17 00:00,,,A
10046068,C,C,2002/12/1 00:00,2種原因以上,,B
10046264,C,C,2002/12/1 00:00,2種原因以上,,B
10046056,N,,2001/8/16 00:00,,,B
10046192,C,C,2001/9/1 00:00,其他原因,,B
91051356,C,32,2004/11/2 00:00,,,A
92184018,N,,2004/10/10 00:00,,,C
92184022,N,,2004/10/10 00:00,,,C
10046285,C,C,2004/11/1 00:00,2種原因以上,,B
5023252,D,20,2004/10/5 00:00,,,A
5023256,D,20,2004/10/15 00:00,,,A
5023256,N,,2004/10/16 00:00,,,A
10046199,C,C,2004/11/1 00:00,2種原因以上,,B
10046111,C,C,2002/12/10 00:00,2種原因以上,,B
10046262,N,,2002/2/18 00:00,,,B
93051387,N,,2005/3/12 00:00,,,A
10046162,C,C,2002/12/1 00:00,2種原因以上,,B
91122431,D,20,2003/3/20 00:00,,,B
90122351,C,C,2003/3/25 00:00,2種原因以上,,B
90122351,C,C,2003/4/5 00:00,2種原因以上,,B
10046259,C,C,2003/4/28 00:00,2種原因以上,,B
5023051,N,,2003/5/1 00:00,,,A
10046066,C,C,2000/11/30 00:00,2種原因以上,,B
10046200,C,C,2005/10/1 00:00,2種原因以上,,B
90182978,N,,2004/10/10 00:00,,,C
5022358,C,C,2003/5/30 00:00,其他原因,,A
5023249,C,C,2003/5/30 00:00,其他原因,,A
90182942,N,,2004/10/10 00:00,,,C
10046136,C,C,2001/8/1 00:00,2種原因以上,,B
10046220,N,,2002/8/17 00:00,,,B
5023375,C,C,2004/9/9 00:00,其他原因,,A
91051394,C,C,2004/9/9 00:00,蹄的問題,,A
91122440,C,C,2003/5/30 00:00,2種原因以上,,B
10046127,C,C,2003/6/1 00:00,2種原因以上,,B
5022399,C,C,2003/5/1 00:00,其他原因,,A
5023250,C,C,2003/5/1 00:00,其他原因,,A
5024338,C,C,2003/5/1 00:00,其他原因,,A
5023057,C,C,2003/11/3 00:00,蹄的問題,,A
91129167,N,,2003/11/8 00:00,,,B
10046149,C,C,2003/11/15 00:00,2種原因以上,,B
91129135,D,20,2003/11/15 00:00,,,B
10046242,C,C,2003/11/20 00:00,2種原因以上,,B
10050226,C,C,2003/11/20 00:00,2種原因以上,,B
5023454,C,30,2003/11/28 00:00,,,A
91129135,D,20,2003/11/28 00:00,,,B
5024342,C,C,2003/5/20 00:00,其他原因,,A
10046224,C,C,2003/6/1 00:00,2種原因以上,,B
10046179,D,20,2001/9/8 00:00,,,B
10046260,C,C,2005/10/1 00:00,2種原因以上,,B
10046237,C,C,2003/7/1 00:00,2種原因以上,,B
10046252,D,20,2003/6/1 00:00,,,B
10046252,N,,2003/6/12 00:00,,,B
10046033,C,C,2005/10/1 00:00,2種原因以上,,B
10049218,C,C,2005/10/1 00:00,2種原因以上,,B
91129160,C,C,2005/10/1 00:00,2種原因以上,,B
91129183,C,C,2005/10/1 00:00,2種原因以上,,B
10046155,C,C,2005/10/1 00:00,2種原因以上,,B
10046251,C,C,2005/10/1 00:00,2種原因以上,,B
10050273,C,C,2005/10/1 00:00,2種原因以上,,B
10050277,C,C,2005/10/1 00:00,2種原因以上,,B
10046042,C,C,2002/12/1 00:00,2種原因以上,,B
10046176,C,C,2002/12/1 00:00,2種原因以上,,B
10046276,C,C,2002/12/1 00:00,2種原因以上,,B
10050777,C,C,2005/10/1 00:00,2種原因以上,,B
91129182,C,C,2005/10/1 00:00,2種原因以上,,B
5023051,C,C,2005/10/10 00:00,其他原因,,A
10046268,C,C,2004/12/1 00:00,2種原因以上,,B
5023247,N,,2004/12/10 00:00,,,A
5023113,C,C,2004/11/9 00:00,其他原因,,A
5024336,N,,2004/11/9 00:00,,,A
5022348,C,C,2003/5/30 00:00,其他原因,,A
10046051,C,C,2003/11/20 00:00,2種原因以上,,B
91129138,D,20,2003/11/15 00:00,,,B
10046074,C,C,2003/11/20 00:00,2種原因以上,,B
10046142,C,C,2003/11/20 00:00,2種原因以上,,B
10046179,C,C,2003/11/20 00:00,2種原因以上,,B
10046252,C,C,2003/11/20 00:00,2種原因以上,,B
5022916,C,32,2004/11/8 00:00,,,A
10050232,C,C,2005/10/1 00:00,2種原因以上,,B
10046145,C,C,2005/10/1 00:00,2種原因以上,,B
10046156,C,C,2005/10/1 00:00,2種原因以上,,B
90122401,C,C,2003/12/1 00:00,2種原因以上,,B
5022368,C,C,2003/12/8 00:00,生殖道問題,,A
10046142,N,,2003/12/9 00:00,,,B
10046289,C,C,2005/10/1 00:00,2種原因以上,,B
91129161,C,C,2005/10/1 00:00,2種原因以上,,B
10046099,C,C,2003/11/20 00:00,2種原因以上,,B
10046160,C,C,2003/11/20 00:00,2種原因以上,,B
5022407,C,C,2003/11/3 00:00,蹄的問題,,A
10046153,C,C,2003/11/20 00:00,2種原因以上,,B
10046226,C,C,2003/11/20 00:00,2種原因以上,,B
10046253,C,C,2003/11/20 00:00,2種原因以上,,B
91122429,D,20,2003/11/28 00:00,,,B
10046229,C,C,2003/12/20 00:00,2種原因以上,,B
5023059,C,C,2003/5/20 00:00,其他原因,,A
5022372,C,C,2003/5/30 00:00,其他原因,,A
10046246,C,C,2003/6/1 00:00,2種原因以上,,B
5024348,C,C,2005/10/15 00:00,其他原因,,A
10046121,C,C,2003/11/20 00:00,2種原因以上,,B
10046427,C,C,2003/11/20 00:00,2種原因以上,,B
91122448,C,C,2003/11/20 00:00,2種原因以上,,B
91051330,C,32,2005/10/5 00:00,,,A
5026317,C,32,2005/10/15 00:00,,,A
5023053,D,20,2005/10/10 00:00,,,A
87183296,N,,2005/10/10 00:00,,,C
92051448,C,32,2005/10/15 00:00,,,A
10046085,C,C,2005/11/1 00:00,2種原因以上,,B
10046071,C,C,2004/12/1 00:00,2種原因以上,,B
10046213,C,C,2004/12/1 00:00,2種原因以上,,B
90122392,C,C,2004/12/1 00:00,2種原因以上,,B
91122429,C,C,2005/11/10 00:00,2種原因以上,,B
5023114,C,C,2005/10/10 00:00,其他原因,,A
10046105,N,,2004/9/13 00:00,,,B
91122414,C,C,2004/9/30 00:00,2種原因以上,,B
87051618,C,C,2003/9/25 00:00,蹄的問題,,A
5026316,D,20,2003/9/28 00:00,,,A
91051340,C,32,2005/10/15 00:00,,,A
93053209,C,C,2006/7/3 00:00,其他原因,,A
10046205,D,20,2003/1/10 00:00,,,B
10046260,N,,2003/1/14 00:00,,,B
93184928,N,,2006/6/15 00:00,,,C
10046014,C,C,2001/12/1 00:00,2種原因以上,,B
10046031,C,C,2001/12/10 00:00,2種原因以上,,B
10046254,N,,2002/2/18 00:00,,,B
10046288,N,,2002/2/18 00:00,,,B
5022855,C,C,2003/12/8 00:00,生殖道問題,,A
90122351,N,,2003/4/12 00:00,,,B
91122431,N,,2003/4/12 00:00,,,B
90122351,C,C,2003/4/21 00:00,2種原因以上,,B
10046122,C,C,2003/12/25 00:00,2種原因以上,,B
93184917,C,C,2006/6/30 00:00,其他原因,,C
90182914,D,30,2006/7/1 00:00,,,C
94183457,D,30,2006/7/15 00:00,,,C
10046225,C,C,2003/12/25 00:00,2種原因以上,,B
10046142,N,,2004/1/6 00:00,,,B
10046225,C,C,2004/1/6 00:00,2種原因以上,,B
85182838,N,,2005/4/10 00:00,,,C
90182976,N,,2006/6/15 00:00,,,C
91122422,C,C,2006/6/15 00:00,2種原因以上,,B
5023109,C,C,2006/6/27 00:00,其他原因,,A
93126178,N,,2006/6/27 00:00,,,B
93053201,C,C,2006/7/3 00:00,其他原因,,A
91051343,C,C,2003/12/22 00:00,其他原因,,A
10046243,C,C,2004/1/10 00:00,2種原因以上,,B
89181743,D,30,2006/7/15 00:00,,,C
91122405,C,C,2005/5/1 00:00,2種原因以上,,B
5023056,D,30,2003/12/10 00:00,,,A
90122374,C,C,2005/5/1 00:00,2種原因以上,,B
90122382,C,C,2005/5/1 00:00,2種原因以上,,B
5024336,D,20,2003/12/16 00:00,,,A
91122429,D,20,2003/12/28 00:00,,,B
91122429,N,,2004/1/5 00:00,,,B
10046031,D,30,2001/9/1 00:00,,,B
89181743,N,,2006/8/15 00:00,,,C
5024335,C,C,2006/8/20 00:00,其他原因,,A
92122318,N,,2006/8/24 00:00,,,B
5022360,C,C,2003/10/26 00:00,蹄的問題,,A
5023124,D,20,2004/3/1 00:00,,,A
92051453,C,C,2005/10/15 00:00,蹄的問題,,A
91129172,C,C,2005/11/10 00:00,2種原因以上,,B
91129135,N,,2004/1/5 00:00,,,B
10050243,C,C,2004/1/10 00:00,2種原因以上,,B
90182996,D,30,2004/2/8 00:00,,,C
5023124,N,,2004/3/30 00:00,,2013/8/29 00:00,A
5023056,C,C,2004/2/1 00:00,其他原因,,A
5023124,D,20,2004/2/14 00:00,,,A
92184021,C,C,2006/7/13 00:00,其他原因,,C
93052513,C,C,2006/7/11 00:00,其他原因,,A
89181751,D,30,2006/7/15 00:00,,,C
90182943,N,,2006/7/15 00:00,,,C
5023052,N,,2004/3/8 00:00,,,A
90182996,N,,2004/3/10 00:00,,,C
93053823,D,20,2007/2/24 00:00,,,A
89181746,D,20,2004/2/15 00:00,,,C
92051437,C,C,2007/2/5 00:00,其他原因,,A
91129151,C,C,2004/12/25 00:00,2種原因以上,,B
92184018,C,C,2004/12/25 00:00,其他原因,,C
