1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
37528,2019,10,A,52678,11H8035,94040423,2011/12/5 00:00,4,69,,2019/7/30 00:00,2019/10/7 00:00,94,2019/10/8 00:00,,,0,2017/9/19 00:00,,
37529,2019,11,A,52641,614H5010,97040119,2011/4/2 00:00,7,193,,2019/4/25 00:00,2019/11/4 00:00,103,2019/11/6 00:00,,,0,2018/5/8 00:00,,
37530,2019,11,A,52648,7H7735,97040166,2011/6/13 00:00,6,55,,2019/9/10 00:00,2019/11/4 00:00,101,2019/11/6 00:00,,,0,2018/8/26 00:00,,
37531,2019,11,A,52678,11H8035,94040423,2011/12/5 00:00,4,97,,2019/7/30 00:00,2019/11/4 00:00,95,2019/11/6 00:00,,,0,2017/9/19 00:00,,
37532,2019,7,A,52679,7H10427,95040492,2011/12/14 00:00,4,329,,2018/8/6 00:00,2019/7/1 00:00,91,2019/7/2 00:00,2019/2/26 00:00,551HO00695,1,2017/1/16 00:00,2019/2/26 00:00,551HO00695
37533,2019,7,B,122630,007HO08361,98111436,2011/3/12 00:00,5,54,,2019/5/25 00:00,2019/7/18 00:00,100,2019/7/22 00:00,2019/10/18 00:00,007HO14732,0,2017/11/7 00:00,2019/7/30 00:00,203HO03005
37534,2019,7,B,124301,001HO07235,,2011/10/1 00:00,5,305,,2018/9/16 00:00,2019/7/18 00:00,93,2019/7/22 00:00,2019/3/23 00:00,203HO01513,4,2017/8/28 00:00,2018/11/12 00:00,029HO18438
37535,2019,7,C,185268,7H7488,94172175,2011/1/19 00:00,6,23,,2019/7/2 00:00,2019/7/25 00:00,102,2019/7/26 00:00,,,0,2018/6/26 00:00,,
37536,2019,8,A,52679,7H10427,95040492,2011/12/14 00:00,4,364,,2018/8/6 00:00,2019/8/5 00:00,92,2019/8/6 00:00,2019/2/26 00:00,551HO00695,1,2017/1/16 00:00,2019/2/26 00:00,551HO00695
37537,2019,8,B,122630,007HO08361,98111436,2011/3/12 00:00,5,87,,2019/5/25 00:00,2019/8/20 00:00,101,2019/8/21 00:00,2019/10/18 00:00,007HO14732,1,2017/11/7 00:00,2019/7/30 00:00,203HO03005
37538,2019,8,B,124301,001HO07235,,2011/10/1 00:00,5,338,,2018/9/16 00:00,2019/8/20 00:00,94,2019/8/21 00:00,2019/3/23 00:00,203HO01513,4,2017/8/28 00:00,2018/11/12 00:00,029HO18438
37539,2019,8,B,124302,1H7235,97112872,2011/10/4 00:00,6,11,,2019/8/9 00:00,2019/8/20 00:00,94,2019/8/21 00:00,,,0,2018/2/11 00:00,,
37540,2019,9,A,52679,7H10427,95040492,2011/12/14 00:00,4,391,,2018/8/6 00:00,2019/9/1 00:00,93,2019/9/4 00:00,2019/2/26 00:00,551HO00695,1,2017/1/16 00:00,2019/2/26 00:00,551HO00695
37541,2019,9,B,124302,1H7235,97112872,2011/10/4 00:00,6,40,,2019/8/9 00:00,2019/9/18 00:00,95,2019/9/19 00:00,,,0,2018/2/11 00:00,,
37542,2019,9,B,127916,1H8812,,2012/5/23 00:00,5,50,,2019/7/30 00:00,2019/9/18 00:00,88,2019/9/19 00:00,,,0,2018/5/17 00:00,,
37543,2019,9,B,124301,001HO07235,,2011/10/1 00:00,5,367,,2018/9/16 00:00,2019/9/18 00:00,95,2019/9/19 00:00,2019/3/23 00:00,203HO01513,4,2017/8/28 00:00,2018/11/12 00:00,029HO18438
37544,2019,9,B,122630,007HO08361,98111436,2011/3/12 00:00,5,116,,2019/5/25 00:00,2019/9/18 00:00,102,2019/9/19 00:00,2019/10/18 00:00,007HO14732,2,2017/11/7 00:00,2019/7/30 00:00,203HO03005
37545,2019,9,C,185268,7H7488,94172175,2011/1/19 00:00,6,81,,2019/7/2 00:00,2019/9/21 00:00,104,2019/9/23 00:00,,,0,2018/6/26 00:00,,
37546,2019,10,B,122630,007HO08361,98111436,2011/3/12 00:00,5,151,,2019/5/25 00:00,2019/10/23 00:00,103,2019/10/24 00:00,2019/10/18 00:00,007HO14732,3,2017/11/7 00:00,2019/7/30 00:00,203HO03005
37547,2019,10,B,124302,1H7235,97112872,2011/10/4 00:00,6,75,,2019/8/9 00:00,2019/10/23 00:00,96,2019/10/24 00:00,,,0,2018/2/11 00:00,,
37548,2019,7,C,185286,751H9952,98175618,2011/4/27 00:00,5,23,,2019/7/2 00:00,2019/7/25 00:00,99,2019/7/26 00:00,2019/10/11 00:00,001HO12901,0,2018/8/20 00:00,2019/10/11 00:00,001HO12901
37549,2019,7,C,185294,1H6987,90171650,2011/5/23 00:00,5,222,,2018/12/15 00:00,2019/7/25 00:00,98,2019/7/26 00:00,2019/3/16 00:00,001HO12901,1,2017/5/29 00:00,2019/3/16 00:00,001HO12901
37550,2019,7,C,185275,751H9952,97171323,2011/3/18 00:00,6,100,,2019/4/16 00:00,2019/7/25 00:00,100,2019/7/26 00:00,2019/5/18 00:00,001HO12901,1,2017/12/5 00:00,2019/5/18 00:00,001HO12901
37551,2019,7,A,1051856,7H9502,96040548,2012/10/25 00:00,3,254,,2018/10/20 00:00,2019/7/1 00:00,81,2019/7/2 00:00,2018/12/2 00:00,551HO00681,1,2016/9/27 00:00,2018/12/2 00:00,551HO00681
37552,2019,7,A,1051841,7H7536,97040155,2012/9/4 00:00,4,180,,2019/1/2 00:00,2019/7/1 00:00,82,2019/7/2 00:00,2019/3/8 00:00,551HO00687,1,2017/6/20 00:00,2019/3/8 00:00,551HO00687
37553,2019,7,A,1051815,507H10604,98040681,2012/1/19 00:00,4,169,,2019/1/13 00:00,2019/7/1 00:00,90,2019/7/2 00:00,2019/9/5 00:00,501HO12658,1,2018/1/31 00:00,2019/5/21 00:00,TW1HO00521
37554,2019,7,A,1051862,501H8784,97040138,2012/11/24 00:00,3,379,,2018/6/17 00:00,2019/7/1 00:00,80,2019/7/2 00:00,2018/12/15 00:00,551HO00687,2,2017/3/20 00:00,2018/10/29 00:00,509HO12026
37555,2019,7,B,1123336,001HO07173,99116333,2012/1/12 00:00,6,151,,2019/2/17 00:00,2019/7/18 00:00,90,2019/7/22 00:00,2019/4/26 00:00,523HO01513,1,2018/3/14 00:00,2019/4/26 00:00,523HO01513
37556,2019,8,C,185286,751H9952,98175618,2011/4/27 00:00,5,53,,2019/7/2 00:00,2019/8/24 00:00,100,2019/8/26 00:00,2019/10/11 00:00,001HO12901,0,2018/8/20 00:00,2019/10/11 00:00,001HO12901
37557,2019,8,C,185294,1H6987,90171650,2011/5/23 00:00,5,252,,2018/12/15 00:00,2019/8/24 00:00,99,2019/8/26 00:00,2019/3/16 00:00,001HO12901,1,2017/5/29 00:00,2019/3/16 00:00,001HO12901
37558,2019,8,A,1051841,7H7536,97040155,2012/9/4 00:00,4,215,,2019/1/2 00:00,2019/8/5 00:00,83,2019/8/6 00:00,2019/3/8 00:00,551HO00687,1,2017/6/20 00:00,2019/3/8 00:00,551HO00687
37559,2019,8,A,1051815,507H10604,98040681,2012/1/19 00:00,4,204,,2019/1/13 00:00,2019/8/5 00:00,91,2019/8/6 00:00,2019/9/5 00:00,501HO12658,1,2018/1/31 00:00,2019/5/21 00:00,TW1HO00521
37560,2019,8,A,1051857,507H9133,97040149,2012/10/25 00:00,5,15,,2019/7/21 00:00,2019/8/5 00:00,82,2019/8/6 00:00,2019/10/8 00:00,501HO12434,0,2018/8/3 00:00,2019/10/8 00:00,501HO12434
37561,2019,8,B,1123360,7H8361,99116345,2012/3/24 00:00,4,103,,2019/5/9 00:00,2019/8/20 00:00,89,2019/8/21 00:00,,,0,2017/11/11 00:00,,
37562,2019,8,B,1123374,7H8361,99116243,2012/7/9 00:00,4,196,,2019/2/5 00:00,2019/8/20 00:00,85,2019/8/21 00:00,2019/6/21 00:00,004HO12927,2,2017/7/29 00:00,2019/4/30 00:00,151HO00756
37563,2019,9,C,185286,751H9952,98175618,2011/4/27 00:00,5,81,,2019/7/2 00:00,2019/9/21 00:00,101,2019/9/23 00:00,2019/10/11 00:00,001HO12901,0,2018/8/20 00:00,2019/10/11 00:00,001HO12901
37564,2019,9,C,185294,1H6987,90171650,2011/5/23 00:00,5,280,,2018/12/15 00:00,2019/9/21 00:00,100,2019/9/23 00:00,2019/3/16 00:00,001HO12901,1,2017/5/29 00:00,2019/3/16 00:00,001HO12901
37565,2019,9,A,1051815,507H10604,98040681,2012/1/19 00:00,4,231,,2019/1/13 00:00,2019/9/1 00:00,92,2019/9/4 00:00,2019/9/5 00:00,501HO12658,1,2018/1/31 00:00,2019/5/21 00:00,TW1HO00521
37566,2019,9,A,1051857,507H9133,97040149,2012/10/25 00:00,5,42,,2019/7/21 00:00,2019/9/1 00:00,83,2019/9/4 00:00,2019/10/8 00:00,501HO12434,0,2018/8/3 00:00,2019/10/8 00:00,501HO12434
37567,2019,9,B,1123363,7H7536,99116363,2012/4/2 00:00,5,4,,2019/9/14 00:00,2019/9/18 00:00,89,2019/9/19 00:00,,,0,2017/11/27 00:00,,
37568,2019,9,B,1123360,7H8361,99116345,2012/3/24 00:00,4,132,,2019/5/9 00:00,2019/9/18 00:00,90,2019/9/19 00:00,,,0,2017/11/11 00:00,,
37569,2019,10,C,185286,751H9952,98175618,2011/4/27 00:00,5,114,,2019/7/2 00:00,2019/10/24 00:00,102,2019/10/25 00:00,2019/10/11 00:00,001HO12901,1,2018/8/20 00:00,2019/10/11 00:00,001HO12901
37570,2019,10,A,1051815,507H10604,98040681,2012/1/19 00:00,4,267,,2019/1/13 00:00,2019/10/7 00:00,93,2019/10/8 00:00,2019/9/5 00:00,501HO12658,2,2018/1/31 00:00,2019/5/21 00:00,TW1HO00521
37571,2019,10,A,1051856,7H9502,96040548,2012/10/25 00:00,4,27,,2019/9/10 00:00,2019/10/7 00:00,84,2019/10/8 00:00,,,0,2018/10/20 00:00,,
37572,2019,10,A,1051857,507H9133,97040149,2012/10/25 00:00,5,78,,2019/7/21 00:00,2019/10/7 00:00,84,2019/10/8 00:00,2019/10/8 00:00,501HO12434,0,2018/8/3 00:00,2019/10/8 00:00,501HO12434
37573,2019,10,A,1051862,501H8784,97040138,2012/11/24 00:00,4,20,,2019/9/17 00:00,2019/10/7 00:00,83,2019/10/8 00:00,,,0,2018/6/17 00:00,,
37574,2019,10,B,1123360,7H8361,99116345,2012/3/24 00:00,4,167,,2019/5/9 00:00,2019/10/23 00:00,91,2019/10/24 00:00,,,0,2017/11/11 00:00,,
37575,2019,10,B,1123363,7H7536,99116363,2012/4/2 00:00,5,39,,2019/9/14 00:00,2019/10/23 00:00,90,2019/10/24 00:00,,,0,2017/11/27 00:00,,
37576,2019,11,A,1051862,501H8784,97040138,2012/11/24 00:00,4,48,,2019/9/17 00:00,2019/11/4 00:00,84,2019/11/6 00:00,,,0,2018/6/17 00:00,,
37577,2019,11,A,1051856,7H9502,96040548,2012/10/25 00:00,4,55,,2019/9/10 00:00,2019/11/4 00:00,85,2019/11/6 00:00,,,0,2018/10/20 00:00,,
37578,2019,11,A,1051815,507H10604,98040681,2012/1/19 00:00,4,295,,2019/1/13 00:00,2019/11/4 00:00,94,2019/11/6 00:00,2019/9/5 00:00,501HO12658,2,2018/1/31 00:00,2019/5/21 00:00,TW1HO00521
37579,2019,11,A,1051857,507H9133,97040149,2012/10/25 00:00,5,106,,2019/7/21 00:00,2019/11/4 00:00,85,2019/11/6 00:00,2019/10/8 00:00,501HO12434,1,2018/8/3 00:00,2019/10/8 00:00,501HO12434
37580,2019,7,B,1123407,11H10079,97112810,2012/11/14 00:00,4,306,,2018/9/15 00:00,2019/7/18 00:00,80,2019/7/22 00:00,2019/1/3 00:00,203HO01513,2,2017/9/21 00:00,2018/11/19 00:00,203HO01513
37581,2019,7,A,2052005,7H9222,99040425,2013/5/11 00:00,3,253,,2018/10/21 00:00,2019/7/1 00:00,74,2019/7/2 00:00,2019/2/22 00:00,551HO00695,2,2017/9/1 00:00,2019/1/29 00:00,551HO00687
37582,2019,7,A,2051990,11H10079,94040407,2013/2/10 00:00,4,21,,2019/6/10 00:00,2019/7/1 00:00,77,2019/7/2 00:00,,,0,2018/5/28 00:00,,
37583,2019,7,A,2052021,7H10723,98040658,2013/7/18 00:00,3,528,,2018/1/19 00:00,2019/7/1 00:00,72,2019/7/2 00:00,2019/1/27 00:00,551HO00687,7,2016/12/11 00:00,2018/5/8 00:00,601HO11670
37584,2019,7,A,2052010,7H9222,98040660,2013/6/3 00:00,3,196,,2018/12/17 00:00,2019/7/1 00:00,73,2019/7/2 00:00,2019/10/22 00:00,501HO00687,1,2016/10/12 00:00,2019/5/2 00:00,551HO00687
37585,2019,7,A,2052039,501H8784,41347,2013/12/30 00:00,2,360,,2018/7/6 00:00,2019/7/1 00:00,67,2019/7/2 00:00,2019/7/14 00:00,TW1HO00521,2,2016/12/3 00:00,2018/8/18 00:00,509HO12236
37586,2019,7,A,2052022,501H8784,41324,2013/7/19 00:00,2,239,,2018/11/4 00:00,2019/7/1 00:00,72,2019/7/2 00:00,2019/10/31 00:00,501HO00687,2,2016/4/3 00:00,2019/4/1 00:00,007HO11757
37587,2019,7,A,2052063,,,2013/6/20 00:00,3,287,,2018/9/17 00:00,2019/7/1 00:00,73,2019/7/2 00:00,2019/3/4 00:00,509HO12026,2,2017/5/6 00:00,2018/12/22 00:00,551HO00687
37588,2019,7,A,2052002,501H8658,41303,2013/3/30 00:00,2,246,,2018/10/28 00:00,2019/7/1 00:00,76,2019/7/2 00:00,2019/10/15 00:00,501HO12434,4,2016/8/19 00:00,2019/1/27 00:00,551HO00687
37589,2019,7,A,2052012,11H9711,99040433,2013/6/14 00:00,3,137,,2019/2/14 00:00,2019/7/1 00:00,73,2019/7/2 00:00,2019/9/24 00:00,501HO12434,2,2017/2/28 00:00,2019/4/18 00:00,551HO00687
37590,2019,7,A,2052062,,,2013/6/6 00:00,4,120,,2019/3/3 00:00,2019/7/1 00:00,73,2019/7/2 00:00,2019/10/25 00:00,501HO00687,0,2018/3/9 00:00,2019/8/6 00:00,501HO12658
37591,2019,7,A,2052064,,,2013/6/25 00:00,3,249,,2018/10/25 00:00,2019/7/1 00:00,73,2019/7/2 00:00,2019/2/3 00:00,551HO00657,3,2017/10/10 00:00,2018/11/26 00:00,509HO12026
37592,2019,7,A,2052004,7H10884,96040555,2013/5/7 00:00,3,315,,2018/8/20 00:00,2019/7/1 00:00,74,2019/7/2 00:00,2019/4/20 00:00,551HO00687,1,2016/9/19 00:00,2019/4/20 00:00,551HO00687
37593,2019,7,A,2052017,501H9015,41337,2013/6/22 00:00,3,6,,2019/6/25 00:00,2019/7/1 00:00,73,2019/7/2 00:00,,,0,2017/5/5 00:00,,
37594,2019,7,C,1181910,7H10604,96174165,2012/10/16 00:00,4,261,,2018/11/6 00:00,2019/7/25 00:00,81,2019/7/26 00:00,2019/3/24 00:00,001HO12901,2,2017/3/16 00:00,2018/12/31 00:00,001HO12901
37595,2019,8,A,2052005,7H9222,99040425,2013/5/11 00:00,3,288,,2018/10/21 00:00,2019/8/5 00:00,75,2019/8/6 00:00,2019/2/22 00:00,551HO00695,2,2017/9/1 00:00,2019/1/29 00:00,551HO00687
37596,2019,8,A,2052012,11H9711,99040433,2013/6/14 00:00,3,172,,2019/2/14 00:00,2019/8/5 00:00,74,2019/8/6 00:00,2019/9/24 00:00,501HO12434,2,2017/2/28 00:00,2019/4/18 00:00,551HO00687
37597,2019,8,A,2051990,11H10079,94040407,2013/2/10 00:00,4,56,,2019/6/10 00:00,2019/8/5 00:00,78,2019/8/6 00:00,,,0,2018/5/28 00:00,,
37598,2019,8,A,2052004,7H10884,96040555,2013/5/7 00:00,3,350,,2018/8/20 00:00,2019/8/5 00:00,75,2019/8/6 00:00,2019/4/20 00:00,551HO00687,1,2016/9/19 00:00,2019/4/20 00:00,551HO00687
37599,2019,8,A,2052039,501H8784,41347,2013/12/30 00:00,2,395,,2018/7/6 00:00,2019/8/5 00:00,68,2019/8/6 00:00,2019/7/14 00:00,TW1HO00521,3,2016/12/3 00:00,2018/8/18 00:00,509HO12236
37600,2019,8,A,2052063,,,2013/6/20 00:00,3,322,,2018/9/17 00:00,2019/8/5 00:00,74,2019/8/6 00:00,2019/3/4 00:00,509HO12026,2,2017/5/6 00:00,2018/12/22 00:00,551HO00687
37601,2019,8,A,2052062,,,2013/6/6 00:00,4,155,,2019/3/3 00:00,2019/8/5 00:00,74,2019/8/6 00:00,2019/10/25 00:00,501HO00687,0,2018/3/9 00:00,2019/8/6 00:00,501HO12658
37602,2019,8,A,2052017,501H9015,41337,2013/6/22 00:00,3,41,,2019/6/25 00:00,2019/8/5 00:00,74,2019/8/6 00:00,,,0,2017/5/5 00:00,,
37603,2019,8,A,2052022,501H8784,41324,2013/7/19 00:00,2,274,,2018/11/4 00:00,2019/8/5 00:00,73,2019/8/6 00:00,2019/10/31 00:00,501HO00687,3,2016/4/3 00:00,2019/4/1 00:00,007HO11757
37604,2019,8,A,2052010,7H9222,98040660,2013/6/3 00:00,3,231,,2018/12/17 00:00,2019/8/5 00:00,74,2019/8/6 00:00,2019/10/22 00:00,501HO00687,1,2016/10/12 00:00,2019/5/2 00:00,551HO00687
37605,2019,8,A,2052002,501H8658,41303,2013/3/30 00:00,2,281,,2018/10/28 00:00,2019/8/5 00:00,77,2019/8/6 00:00,2019/10/15 00:00,501HO12434,4,2016/8/19 00:00,2019/1/27 00:00,551HO00687
37606,2019,8,C,1181910,7H10604,96174165,2012/10/16 00:00,4,291,,2018/11/6 00:00,2019/8/24 00:00,82,2019/8/26 00:00,2019/3/24 00:00,001HO12901,2,2017/3/16 00:00,2018/12/31 00:00,001HO12901
37607,2019,9,B,1123374,7H8361,99116243,2012/7/9 00:00,4,225,,2019/2/5 00:00,2019/9/18 00:00,86,2019/9/19 00:00,2019/6/21 00:00,004HO12927,2,2017/7/29 00:00,2019/4/30 00:00,151HO00756
37608,2019,9,A,2052039,501H8784,41347,2013/12/30 00:00,2,422,,2018/7/6 00:00,2019/9/1 00:00,69,2019/9/4 00:00,2019/7/14 00:00,TW1HO00521,3,2016/12/3 00:00,2018/8/18 00:00,509HO12236
37609,2019,9,A,2052022,501H8784,41324,2013/7/19 00:00,2,301,,2018/11/4 00:00,2019/9/1 00:00,74,2019/9/4 00:00,2019/10/31 00:00,501HO00687,3,2016/4/3 00:00,2019/4/1 00:00,007HO11757
37610,2019,9,A,2052005,7H9222,99040425,2013/5/11 00:00,3,315,,2018/10/21 00:00,2019/9/1 00:00,76,2019/9/4 00:00,2019/2/22 00:00,551HO00695,2,2017/9/1 00:00,2019/1/29 00:00,551HO00687
37611,2019,9,A,2052004,7H10884,96040555,2013/5/7 00:00,3,377,,2018/8/20 00:00,2019/9/1 00:00,76,2019/9/4 00:00,2019/4/20 00:00,551HO00687,1,2016/9/19 00:00,2019/4/20 00:00,551HO00687
37612,2019,9,A,2052012,11H9711,99040433,2013/6/14 00:00,3,199,,2019/2/14 00:00,2019/9/1 00:00,75,2019/9/4 00:00,2019/9/24 00:00,501HO12434,2,2017/2/28 00:00,2019/4/18 00:00,551HO00687
37613,2019,9,A,2052010,7H9222,98040660,2013/6/3 00:00,3,258,,2018/12/17 00:00,2019/9/1 00:00,75,2019/9/4 00:00,2019/10/22 00:00,501HO00687,1,2016/10/12 00:00,2019/5/2 00:00,551HO00687
37614,2019,9,A,2052002,501H8658,41303,2013/3/30 00:00,2,308,,2018/10/28 00:00,2019/9/1 00:00,78,2019/9/4 00:00,2019/10/15 00:00,501HO12434,5,2016/8/19 00:00,2019/1/27 00:00,551HO00687
37615,2019,9,A,2052063,,,2013/6/20 00:00,4,19,,2019/8/13 00:00,2019/9/1 00:00,75,2019/9/4 00:00,,,0,2018/9/17 00:00,,
37616,2019,9,A,2052017,501H9015,41337,2013/6/22 00:00,3,68,,2019/6/25 00:00,2019/9/1 00:00,75,2019/9/4 00:00,,,0,2017/5/5 00:00,,
37617,2019,9,A,2052062,,,2013/6/6 00:00,4,182,,2019/3/3 00:00,2019/9/1 00:00,75,2019/9/4 00:00,2019/10/25 00:00,501HO00687,1,2018/3/9 00:00,2019/8/6 00:00,501HO12658
37618,2019,9,A,2052035,501H8784,97040126,2013/11/19 00:00,4,21,,2019/8/11 00:00,2019/9/1 00:00,70,2019/9/4 00:00,,,0,2018/8/25 00:00,,
37619,2019,9,A,2051990,11H10079,94040407,2013/2/10 00:00,4,83,,2019/6/10 00:00,2019/9/1 00:00,79,2019/9/4 00:00,,,0,2018/5/28 00:00,,
37620,2019,9,C,1181910,7H10604,96174165,2012/10/16 00:00,4,319,,2018/11/6 00:00,2019/9/21 00:00,83,2019/9/23 00:00,2019/3/24 00:00,001HO12901,2,2017/3/16 00:00,2018/12/31 00:00,001HO12901
37621,2019,10,B,1123374,7H8361,99116243,2012/7/9 00:00,4,260,,2019/2/5 00:00,2019/10/23 00:00,87,2019/10/24 00:00,2019/6/21 00:00,004HO12927,2,2017/7/29 00:00,2019/4/30 00:00,151HO00756
37622,2019,10,B,1123407,11H10079,97112810,2012/11/14 00:00,5,15,,2019/10/8 00:00,2019/10/23 00:00,83,2019/10/24 00:00,,,0,2018/9/15 00:00,,
37623,2019,10,A,2051990,11H10079,94040407,2013/2/10 00:00,4,119,,2019/6/10 00:00,2019/10/7 00:00,80,2019/10/8 00:00,,,0,2018/5/28 00:00,,
37624,2019,10,A,2052002,501H8658,41303,2013/3/30 00:00,2,344,,2018/10/28 00:00,2019/10/7 00:00,79,2019/10/8 00:00,2019/10/15 00:00,501HO12434,6,2016/8/19 00:00,2019/1/27 00:00,551HO00687
37625,2019,10,A,2052004,7H10884,96040555,2013/5/7 00:00,3,413,,2018/8/20 00:00,2019/10/7 00:00,77,2019/10/8 00:00,2019/4/20 00:00,551HO00687,1,2016/9/19 00:00,2019/4/20 00:00,551HO00687
37626,2019,10,A,2052005,7H9222,99040425,2013/5/11 00:00,3,351,,2018/10/21 00:00,2019/10/7 00:00,77,2019/10/8 00:00,2019/2/22 00:00,551HO00695,2,2017/9/1 00:00,2019/1/29 00:00,551HO00687
37627,2019,10,A,2052010,7H9222,98040660,2013/6/3 00:00,3,294,,2018/12/17 00:00,2019/10/7 00:00,76,2019/10/8 00:00,2019/10/22 00:00,501HO00687,2,2016/10/12 00:00,2019/5/2 00:00,551HO00687
37628,2019,10,A,2052012,11H9711,99040433,2013/6/14 00:00,3,235,,2019/2/14 00:00,2019/10/7 00:00,76,2019/10/8 00:00,2019/9/24 00:00,501HO12434,3,2017/2/28 00:00,2019/4/18 00:00,551HO00687
37629,2019,10,A,2052017,501H9015,41337,2013/6/22 00:00,3,104,,2019/6/25 00:00,2019/10/7 00:00,76,2019/10/8 00:00,,,0,2017/5/5 00:00,,
37630,2019,10,A,2052022,501H8784,41324,2013/7/19 00:00,2,337,,2018/11/4 00:00,2019/10/7 00:00,75,2019/10/8 00:00,2019/10/31 00:00,501HO00687,3,2016/4/3 00:00,2019/4/1 00:00,007HO11757
37631,2019,10,A,2052035,501H8784,97040126,2013/11/19 00:00,4,57,,2019/8/11 00:00,2019/10/7 00:00,71,2019/10/8 00:00,,,0,2018/8/25 00:00,,
37632,2019,10,A,2052062,,,2013/6/6 00:00,4,218,,2019/3/3 00:00,2019/10/7 00:00,76,2019/10/8 00:00,2019/10/25 00:00,501HO00687,1,2018/3/9 00:00,2019/8/6 00:00,501HO12658
37633,2019,10,A,2052063,,,2013/6/20 00:00,4,55,,2019/8/13 00:00,2019/10/7 00:00,76,2019/10/8 00:00,,,0,2018/9/17 00:00,,
37634,2019,10,C,1181910,7H10604,96174165,2012/10/16 00:00,4,352,,2018/11/6 00:00,2019/10/24 00:00,84,2019/10/25 00:00,2019/3/24 00:00,001HO12901,2,2017/3/16 00:00,2018/12/31 00:00,001HO12901
37635,2019,11,A,2052063,,,2013/6/20 00:00,4,83,,2019/8/13 00:00,2019/11/4 00:00,77,2019/11/6 00:00,,,0,2018/9/17 00:00,,
37636,2019,11,A,2052004,7H10884,96040555,2013/5/7 00:00,3,441,,2018/8/20 00:00,2019/11/4 00:00,78,2019/11/6 00:00,2019/4/20 00:00,551HO00687,1,2016/9/19 00:00,2019/4/20 00:00,551HO00687
37637,2019,11,A,2052010,7H9222,98040660,2013/6/3 00:00,3,322,,2018/12/17 00:00,2019/11/4 00:00,77,2019/11/6 00:00,2019/10/22 00:00,501HO00687,3,2016/10/12 00:00,2019/5/2 00:00,551HO00687
37638,2019,11,A,2052017,501H9015,41337,2013/6/22 00:00,3,132,,2019/6/25 00:00,2019/11/4 00:00,77,2019/11/6 00:00,,,0,2017/5/5 00:00,,
37639,2019,11,A,2052012,11H9711,99040433,2013/6/14 00:00,3,263,,2019/2/14 00:00,2019/11/4 00:00,77,2019/11/6 00:00,2019/9/24 00:00,501HO12434,3,2017/2/28 00:00,2019/4/18 00:00,551HO00687
37640,2019,11,A,2052002,501H8658,41303,2013/3/30 00:00,2,372,,2018/10/28 00:00,2019/11/4 00:00,80,2019/11/6 00:00,2019/10/15 00:00,501HO12434,7,2016/8/19 00:00,2019/1/27 00:00,551HO00687
37641,2019,11,A,2052035,501H8784,97040126,2013/11/19 00:00,4,85,,2019/8/11 00:00,2019/11/4 00:00,72,2019/11/6 00:00,,,0,2018/8/25 00:00,,
37642,2019,11,A,2052062,,,2013/6/6 00:00,4,246,,2019/3/3 00:00,2019/11/4 00:00,77,2019/11/6 00:00,2019/10/25 00:00,501HO00687,2,2018/3/9 00:00,2019/8/6 00:00,501HO12658
37643,2019,11,A,2052022,501H8784,41324,2013/7/19 00:00,2,365,,2018/11/4 00:00,2019/11/4 00:00,76,2019/11/6 00:00,2019/10/31 00:00,501HO00687,4,2016/4/3 00:00,2019/4/1 00:00,007HO11757
